poly cost,gaus cost,sigm cost
0.0993942,0.0702983,0.0688198
0.0992956,0.0702485,0.0687761
0.0991973,0.070199,0.0687327
0.0990992,0.0701496,0.0686893
0.0990015,0.0701003,0.0686462
0.0989041,0.0700513,0.0686032
0.098807,0.0700024,0.0685603
0.0987102,0.0699537,0.0685176
0.0986137,0.0699052,0.068475
0.0985175,0.0698568,0.0684326
0.0984216,0.0698086,0.0683903
0.098326,0.0697606,0.0683481
0.0982307,0.0697127,0.0683061
0.0981356,0.069665,0.0682643
0.0980409,0.0696175,0.0682226
0.0979464,0.0695702,0.068181
0.0978523,0.069523,0.0681396
0.0977584,0.0694759,0.0680983
0.0976648,0.0694291,0.0680572
0.0975715,0.0693824,0.0680162
0.0974784,0.0693358,0.0679753
0.0973857,0.0692894,0.0679346
0.0972932,0.0692432,0.067894
0.097201,0.0691971,0.0678536
0.0971091,0.0691512,0.0678133
0.0970174,0.0691055,0.0677731
0.096926,0.0690599,0.067733
0.0968349,0.0690144,0.0676931
0.0967441,0.0689691,0.0676534
0.0966535,0.068924,0.0676137
0.0965632,0.068879,0.0675742
0.0964732,0.0688342,0.0675348
0.0963834,0.0687895,0.0674956
0.0962939,0.0687449,0.0674565
0.0962047,0.0687006,0.0674175
0.0961157,0.0686563,0.0673786
0.096027,0.0686122,0.0673399
0.0959385,0.0685683,0.0673013
0.0958503,0.0685245,0.0672628
0.0957624,0.0684809,0.0672244
0.0956747,0.0684374,0.0671862
0.0955873,0.068394,0.0671481
0.0955001,0.0683508,0.0671101
0.0954132,0.0683077,0.0670723
0.0953265,0.0682648,0.0670346
0.0952401,0.068222,0.0669969
0.0951539,0.0681793,0.0669595
0.095068,0.0681368,0.0669221
0.0949823,0.0680945,0.0668849
0.0948969,0.0680522,0.0668477
0.0948117,0.0680101,0.0668107
0.0947267,0.0679682,0.0667738
0.094642,0.0679264,0.0667371
0.0945575,0.0678847,0.0667004
0.0944733,0.0678431,0.0666639
0.0943893,0.0678017,0.0666275
0.0943056,0.0677604,0.0665912
0.0942221,0.0677193,0.066555
0.0941388,0.0676783,0.0665189
0.0940558,0.0676374,0.066483
0.093973,0.0675967,0.0664471
0.0938904,0.067556,0.0664114
0.093808,0.0675155,0.0663758
0.0937259,0.0674752,0.0663403
0.093644,0.067435,0.0663049
0.0935624,0.0673949,0.0662696
0.093481,0.0673549,0.0662344
0.0933998,0.067315,0.0661994
0.0933188,0.0672753,0.0661644
0.093238,0.0672357,0.0661296
0.0931575,0.0671962,0.0660949
0.0930772,0.0671569,0.0660602
0.0929971,0.0671177,0.0660257
0.0929173,0.0670786,0.0659913
0.0928376,0.0670396,0.065957
0.0927582,0.0670007,0.0659228
0.092679,0.066962,0.0658887
0.0926,0.0669234,0.0658547
0.0925212,0.0668849,0.0658209
0.0924427,0.0668465,0.0657871
0.0923643,0.0668083,0.0657534
